#Time	201	801
1533803316	946828529	2648
1533803318	946347249	2426
1533803320	947303975	1261
1533803322	946418166	1260
1533803324	946830831	1891
1533803326	946848453	1261
1533803328	946860702	1261
1533803330	946837057	1261
1533803332	946925412	1891
1533803334	946830831	1261
1533803336	946831209	1639
1533803338	946831461	2191
1533803340	946872210	1261
1533803342	947291532	1261
1533803344	946831146	1576
1533803346	946889944	1576
1533803348	946872414	1261
1533803350	946860702	1576
1533803352	945898978	1259
1533803354	17556212	622049100
1533803356	0	946843268
1533803358	0	946838145
1533803360	0	946837041
1533803362	0	946842969
1533803364	0	946866187
1533803366	0	946849179
1533803368	0	946890259
1533803370	0	946824919
1533803373	0	946884348
1533803375	0	946837057
1533803377	0	946866299
1533803379	0	946831146
1533803381	0	946884033
1533803383	0	946842857
1533803385	0	946830831
1533803387	0	946831146
1533803389	0	946842969
1533803391	0	946884033
1533803393	0	946842969
