#ChainNum	ElapsedTime
10	3946822
20	3940367
30	3907634
40	3911718
50	3955850
60	3909421
70	3873611
80	3918309
90	3870360
100	3811836
110	3792301
120	8847977
130	8752093
140	8721358
150	8737400
160	4619684
170	4673890
180	4782476
190	4811385
200	4808213
210	4816682
220	4872146
230	4981851
240	4941283
250	4958947
260	5040406
270	5034188
280	5162595
290	5139076
300	5205420
310	5275196
320	5256419
330	5276509
340	5364349
350	5390741
360	5454509
370	5499839
380	5452677
390	5557369
400	5616332
410	5699724
420	5812963
430	5699108
440	5768586
450	5839576
460	5882283
470	5931382
480	5897806
490	5985997
500	6113179
510	5997289
520	6106498
530	6079361
540	6181829
550	6182545
560	6335833
570	6310184
580	6312521
590	6366871
600	6401559
610	6474561
620	6616804
630	6516030
640	6529120
650	6567665
660	6689901
670	6724830
680	6801769
690	6815767
700	6791286
710	6880628
720	6966372
730	6981773
740	7176237
750	7010959
760	7067211
770	7164492
780	7174793
790	7328343
800	7248516
810	7362246
820	7429106
830	7402348
840	7425960
850	7511688
860	7513486
870	7585690
880	7601665
890	18848303
